topic,positive_evidence,negative_evidence_1,negative_evidence_2,negative_evidence_3,negative_evidence_4,negative_evidence_5
We should legalize cannabis,"""The long term consumption of cannabis in moderate doses has no harmful effects ( .. )Cannabis is less dangerous than the opiates, amphetamines and barbiturates, and also less dangerous than alcohol.","For example, a 2007 meta-analysis showed that cannabis use is statistically associated with a dose-dependent increase in risk of development of psychotic disorders, including schizoaffective disorder.","The lead author of the study, Professor David Fergusson, stated that ""the regular use of cannabis increases the risks that young people will try other illicit drugs.","A 10 year study on 1923 individuals from the general population in Germany, aged 14-24, concluded that cannabis use is a risk factor for the development of incident psychotic symptoms.","A large, unselected population-based study, published in British Journal of Psychiatry (2008), examined cannabis use and prodromal symptoms of psychosis at age 15-16 years and concluded that cannabis use was associated with prodromal symptoms of psychosis in adolescence.","Gonzales v. Raich (2005) held in a 6-3 decision that the Commerce Clause of the United States Constitution allowed the federal government to ban the use of cannabis, including medical use even if local laws allow it."
We should subsidize biofuels,Figures from the International Energy Agency (IEA) show that biomass energy provides around 30% of the total primary energy supply in developing countries; over 2 billion people depend on biomass fuels as their primary energy source.,"The OECD study concluded that ""..current biofuel support measures alone are estimated to increase average wheat prices by about 5 percent, maize by around 7 percent and vegetable oil by about 19 percent over the next 10 years.""[REF] .","The OECD study concluded that ""..current biofuel support measures alone are estimated to increase average wheat prices by about 5 percent, maize by around 7 percent and vegetable oil by about 19 percent over the next 10 years.""[REF] .",In 2008 a critical report by the Royal Society stated that biofuels risk failing to deliver significant reductions in greenhouse gas emissions from transport and could even be environmentally damaging unless the Government puts the right policies in place.,The study conclusion is that the net effect of biofuel production via clearing of carbon-rich habitats is to increase CO2 emissions for decades or centuries relative to fossil fuel use.,"In 2007, United nations Food and Agriculture Organization Special Rapporteur for the Right to Food urges five year moratorium on food based biofuels, including ethanol, saying its development is a ""crime against humanity."""
We should legalize cannabis,"Writing in the Canadian Medical Association Journal, smoking cannabis from a pipe may significantly relieve chronic pain in patients with damaged nerves.",A 2007 study of studies published in the Lancet concluded that cannabis users are 40% more likely to be sufferers of a psychotic illness than non-users.,"The lead author of the study, Professor David Fergusson, stated that ""the regular use of cannabis increases the risks that young people will try other illicit drugs.",The study reported that smoking both tobacco and cannabis synergistically increased the risk of respiratory symptoms and COPD.,The study also demonstrated a link between an increase in cannabis use and incidences of testicular cancer in men since the 1950s.,Smaller studies have implicated cannabis use in the development of bladder cancer and testicular germ cell tumors.
We should subsidize condoms,"In 1987, Tufts University students Davin Wedel and Adam Glickman started Global Protection Corp. in response to C. Everett Koop's statement that ""a condoms can save your life.""","Hummes has publicly rebuked priests who have suggested that condoms be used to help prevent the spread of HIV/AIDS, instead sticking closely to orthodox Vatican doctrine.","Green said that according to the ""best studies,"" condoms makes people take wilder sexual risks, thus worsening the spread of the disease.","Dr. Bernardo Villegas cites the work of Dr. Edward C. Green, Director of Harvard's AIDS Prevention Center to say that more condoms promote the spread of AIDS.","In 2009, Pope Benedict XVI asserted that handing out condoms is not the solution to combating AIDS and actually makes the problem worse.","In 2009, Pope Benedict XVI asserted that handing out condoms is not the solution to combating AIDS and might make the problem worse."
We should legalize prostitution,"A report produced by the Australian Institute of Criminology in May 1990 recommended that prostitution not be a criminal offence, since the current laws were ineffective and endangered sex workers.",The Swedish Government believes that women selling sexual services to men constitutes a form of violence against women which should be eliminated by reducing demand.,A law proposal was introduced in the House of Representatives of the Netherlands in 2009 and amended in 2010 which would ban prostitution by people younger than 21.,"On September 2, 2009, Cicilline submitted an ordinance to the City Council to ban indoor prostitution in the city, imposing a $500 fine and a potential 30-day prison sentence on violators.","The proponents of the abolitionist view hold that prostitution is a practice which ultimately leads to the mental, emotional and physical destruction of the women who engage in it, and, as such, it should be abolished.","The Association for the Promotion of Women in Romania opposes legalized prostitution, as they view prostitution as ""another form of violence against women and girls""."
We should ban male infant circumcision,"A meta-analysis of data from fifteen observational studies of men who have sex with men found ""insufficient evidence that male circumcision protects against HIV infection or other STIs.""[REF] .","The World Health Organization (WHO) said: ""Although these results demonstrate that male circumcision reduces the risk of men becoming infected with HIV, the UN agencies emphasize that it does not provide complete protection against HIV infection.","The WHO and UNAIDS recommend male circumcision as a means of reducing the rate of HIV infection,[REF] but this has also proved controversial, with doubts raised about the efficacy of mass circumcision campaigns in sub-Saharan Africa.","Byakika-Tusiime states that available evidence satisfies six of Hill's criteria, and concludes that the results of her analysis ""provide unequivocal evidence that circumcision plays a causal role in reducing the risk of HIV infection among men.""[REF]",There is strong evidence that circumcision reduces the risk of HIV infection in heterosexual men in populations that are at high risk.,The WHO currently recommends circumcision be recognised as an intervention as part of a comprehensive program for prevention of HIV transmission in areas with high endemic rates of HIV.
We should subsidize biofuels,"Brazil's Environment Minister, Izabella Teixeira, claims that ""biofuel production in Brazil is driven by public policies that seek to increase its production in a sustainable manner, conserving nature, creating jobs and sharing the benefits among the population"".",In 2008 a critical report by the Royal Society stated that biofuels risk failing to deliver significant reductions in greenhouse gas emissions from transport and could even be environmentally damaging unless the Government puts the right policies in place.,The study conclusion is that the net effect of biofuel production via clearing of carbon-rich habitats is to increase CO2 emissions for decades or centuries relative to fossil fuel use.,"In 2007, United nations Food and Agriculture Organization Special Rapporteur for the Right to Food urges five year moratorium on food based biofuels, including ethanol, saying its development is a ""crime against humanity.""","On April 2008, Jean Ziegler, back then United Nations Special Rapporteur on the Right to Food, called biofuels a ""crime against humanity"",[REF][REF] a claim he had previously made in October 2007, when he called for a 5-year ban for the conversion of land for the production of biofuels.","On April 2008, Jean Ziegler, back then United Nations Special Rapporteur on the Right to Food, called biofuels a ""crime against humanity"",[REF][REF] a claim he had previously made in October 2007, when he called for a 5-year ban for the conversion of land for the production of biofuels."
We should legalize prostitution,The PRC rejects the argument that prostitution is an unremarkable transaction between consenting individuals and that prohibition laws constitute a violation of civil liberties.,A law proposal was introduced in the House of Representatives of the Netherlands in 2009 and amended in 2010 which would ban prostitution by people younger than 21.,Opinion polls have shown that up to 70% of the population supports banning the purchase of sexual services.,"Farley is a leading proponent of the abolitionist view of prostitution[REF] holding that prostitution is inherently exploitive and traumatizing, and should therefore be abolished.","The Austrian Federal Ministry of the Interior considers the illegal prostitution as a problem because it comes along with crimes like human trafficking, pimping and rape.",A number of established businesses have claimed that the open prostitution hurts their business[REF] such as a VIPS restaurant that states that the number of patrons decreases significantly at night.
We should adopt vegetarianism,"Nicholas Stern, the author of the 2006 Stern Review on climate change has stated ""people will need to turn vegetarian if the world is to conquer climate change"".","Schopenhauer's views on animal rights stopped short of advocating vegetarianism, arguing that, so long as an animal's death was quick, men would suffer more by not eating meat than animals would suffer by being eaten.","Schopenhauer's views on animal rights stopped short of advocating vegetarianism, arguing that, so long as an animal's death was quick, men would suffer more by not eating meat than animals would suffer by being eaten.","Schopenhauer's views on animal rights stopped short of advocating vegetarianism, arguing that, so long as an animal's death was quick, men would suffer more by not eating meat than animals would suffer by being eaten.","Schopenhauer's views on animal rights stopped short of advocating vegetarianism, arguing that, so long as an animal's death was quick, men would suffer more by not eating meat than animals would suffer by being eaten.","Schopenhauer's views on animal rights stopped short of advocating vegetarianism, arguing that, so long as an animal's death was quick, men would suffer more by not eating meat than animals would suffer by being eaten."
We should further exploit wind turbines,"The project, created by the local Gorona del Viento El Hierro consortium with financial aid from the European Union, will construct five wind turbines of type E-70 capable of producing 11.5 megawatts of wind power to supply electricity for approximately 11,000 residents, an additional number of tourists, and three water desalination facilities.","In the United States, an unofficial non-peer-reviewed estimate by a U.S. Fish & Wildlife Service (USFWS) scientist in 2009 claimed that wind turbines kill 440,000 birds per year, with future mortality expected to increase significantly as wind power generation expands by 2030 to levels about 12 times higher than 2009 levels.","Another study published in Atmospheric Chemistry and Physics suggested that using wind turbines to meet 10 percent of global energy demand in 2100 could actually have a warming effect, causing temperatures to rise by in the regions on land where the wind farms are installed, including a smaller increase in areas beyond those regions.","Another study published in Atmospheric Chemistry and Physics suggested that using wind turbines to meet 10 percent of global energy demand in 2100 could actually have a warming effect, causing temperatures to rise by in the regions on land where the wind farms are installed, including a smaller increase in areas beyond those regions.","Another study published in Atmospheric Chemistry and Physics suggested that using wind turbines to meet 10 percent of global energy demand in 2100 could actually have a warming effect, causing temperatures to rise by in the regions on land where the wind farms are installed, including a smaller increase in areas beyond those regions.","Another study published in Atmospheric Chemistry and Physics suggested that using wind turbines to meet 10 percent of global energy demand in 2100 could actually have a warming effect, causing temperatures to rise by in the regions on land where the wind farms are installed, including a smaller increase in areas beyond those regions."
We should ban partial birth abortions,"During his term, Sodrel expressed strong pro-life opinions and opposed partial-birth abortions and federal funding for elective abortions.","For example, Kennedy dissented in the 2000 decision in Stenberg v. Carhart, which struck down laws criminalizing partial-birth abortion.",NARAL endorsed Sestak in the 2010 Democratic primary over Specter because of Sestak's opposition to a ban on partial birth abortion.,"Jeffords consistently voted against the ban on partial-birth abortion, and also against a harsher line on Cuba.","Jeffords consistently voted against the ban on partial-birth abortion, and also against a harsher line on Cuba.","Jeffords consistently voted against the ban on partial-birth abortion, and also against a harsher line on Cuba."
Sex education should be mandatory,"A coordinated program between UNDP, UNICEF, and the ministries of health and education promotes sexual education at a larger scale in rural areas and spreads awareness of the dangers of female genital cutting.","In June 2011, Hitchens was booed by a Question Time audience when he said that sex education was causing teenage pregnancies and sexually transmitted diseases, asserting that sex education ""is actually all about taking away [children's] innocence.""","In 2003 a Catholic church spokesman branded sex education as ""pornography"" and Cardinal O'Brien claimed plans to give sex education to pre-school children amounted to ""state-sponsored sexual abuse of minors.""[REF] .",McCain is against federal funding of birth control and sex education; his opposition included a vote against spending $100 million to reduce teen pregnancy by education and contraceptives.,McCain is against federal funding of birth control and sex education; his opposition included a vote against spending $100 million to reduce teen pregnancy by education and contraceptives.,McCain is against federal funding of birth control and sex education; his opposition included a vote against spending $100 million to reduce teen pregnancy by education and contraceptives.
We should subsidize biofuels,"Researchers at the Overseas Development Institute have argued that biofuels could help to reduce poverty in the developing world, through increased employment, wider economic growth multipliers and by stabilising oil prices (many developing countries are net importers of oil).","The OECD study concluded that ""..current biofuel support measures alone are estimated to increase average wheat prices by about 5 percent, maize by around 7 percent and vegetable oil by about 19 percent over the next 10 years.""[REF] .",In 2008 a critical report by the Royal Society stated that biofuels risk failing to deliver significant reductions in greenhouse gas emissions from transport and could even be environmentally damaging unless the Government puts the right policies in place.,The study conclusion is that the net effect of biofuel production via clearing of carbon-rich habitats is to increase CO2 emissions for decades or centuries relative to fossil fuel use.,"On April 2008, Jean Ziegler, back then United Nations Special Rapporteur on the Right to Food, called biofuels a ""crime against humanity"",[REF][REF] a claim he had previously made in October 2007, when he called for a 5-year ban for the conversion of land for the production of biofuels.","On April 2008, Jean Ziegler, back then United Nations Special Rapporteur on the Right to Food, called biofuels a ""crime against humanity"",[REF][REF] a claim he had previously made in October 2007, when he called for a 5-year ban for the conversion of land for the production of biofuels."
We should legalize polygamy,Sudanese President Omar Hassan al-Bashir has encouraged multiple marriages to increase the population.,"Early Church Fathers advocated against polygamy, abortion, infanticide, child abuse, homosexuality, transvestism, and incest.","Early Church Fathers advocated against polygamy, homosexuality, transvestism, and incest.","Israel, in accordance with Western ethics, has made polygamy illegal.","Israel, in accordance with Western ethics, has made polygamy illegal.","Israel, in accordance with Western ethics, has made polygamy illegal."
We should introduce school vouchers,"When drop-out rates and test scores showed little improvement, Johnson changed his tactics and began advocating for school vouchers - a key issue in budget battles of his second term.","During an October 2004 debate, Obama stated that he opposed education vouchers for use at private schools because he believes they would undermine public schools.","The Alliance for the Separation of School & State opposes education vouchers on the grounds that ""if vouchers become commonplace, private and religious schools will become more and more like public schools.""[REF]","In 2006, the Court struck down a law passed by the Florida State Legislature that had created the United States' first statewide education voucher program.","The NEA has often opposed measures such as merit pay, school vouchers, weakening of teacher tenure, certain curricular changes, the No Child Left Behind Act, and many accountability reforms.","The NEA has often opposed measures such as merit pay, school vouchers, weakening of teacher tenure, certain curricular changes, the No Child Left Behind Act, and many accountability reforms."
We should legalize prostitution,"[REF] Ethnographical research on street prostitution, done by Alexandra Oliveira, of University of Porto has led the researcher to argue that prostitution should be legalized to improve the situation of the women.",A law proposal was introduced in the House of Representatives of the Netherlands in 2009 and amended in 2010 which would ban prostitution by people younger than 21.,"On September 2, 2009, Cicilline submitted an ordinance to the City Council to ban indoor prostitution in the city, imposing a $500 fine and a potential 30-day prison sentence on violators.","The proponents of the abolitionist view hold that prostitution is a practice which ultimately leads to the mental, emotional and physical destruction of the women who engage in it, and, as such, it should be abolished.","""According to the National Criminal Police, it is clear that the ban on the purchase of sexual services acts as a barrier to human traffickers and procurers considering establishing themselves in Sweden"".",A number of established businesses have claimed that the open prostitution hurts their business[REF] such as a VIPS restaurant that states that the number of patrons decreases significantly at night.
We should subsidize condoms,"In 2009, she declared herself to be ""profoundly shocked"" by statements of Pope Benedict XVI which claimed that condoms promote AIDS, although they in fact help prevent it.","Green said that according to the ""best studies,"" condoms makes people take wilder sexual risks, thus worsening the spread of the disease.","Dr. Bernardo Villegas cites the work of Dr. Edward C. Green, Director of Harvard's AIDS Prevention Center to say that more condoms promote the spread of AIDS.","In 2009, Pope Benedict XVI asserted that handing out condoms is not the solution to combating AIDS and actually makes the problem worse.","In 2009, Pope Benedict XVI asserted that handing out condoms is not the solution to combating AIDS and might make the problem worse.","The Church maintains that countries like Kenya where behavioral changes like abstinence are endorsed instead of condom use, are experiencing greater progress towards controlling the disease than those countries just promoting condoms."
We should further exploit hydroelectric dams,"Following the BC provincial government's 2002 Energy Plan, publicly owned BC Hydro was forbidden from producing new sources of hydroelectricity as part of a shift to deregulate and privatize the BC electricity sector.","A study for the National Institute for Research in the Amazon found that Hydroelectric reservoirs release a large pulse of carbon dioxide from above-water decay of trees left standing in the reservoirs, especially during the first decade after closing.","Some of Tajikistan's neighbours, especially Uzbekistan, are concerned that construction of large hydroelectric plants within the headwaters of the region's rivers will result in shortages of water downstream.","Some of Tajikistan's neighbours, especially Uzbekistan, are concerned that construction of large hydroelectric plants within the headwaters of the region's rivers will result in shortages of water downstream.","Some of Tajikistan's neighbours, especially Uzbekistan, are concerned that construction of large hydroelectric plants within the headwaters of the region's rivers will result in shortages of water downstream.","Some of Tajikistan's neighbours, especially Uzbekistan, are concerned that construction of large hydroelectric plants within the headwaters of the region's rivers will result in shortages of water downstream."
We should abolish the monarchy,"A 2002 poll by EKOS Research Associates found that the majority 52% of Canadians think that ""the monarchy is an outdated and regressive institution that has no real relevance to most of Canadians today.""","New Zealand Prime Minister John Key said: ""He believed that the monarchy was an instrument of change and can truly be seen as the architect of evolving democracy in Tonga.","Former Deputy Prime Minister Michael Cullen declared that he supported the monarchy, stating in 2004 he was ""a sort of token monarchist in the Cabinet these days.""[REF]","The coronation ceremony was estimated to cost his country roughly 20 million US dollars. Bokassa attempted to justify his actions by claiming that creating a monarchy would help Central Africa ""stand out"" from the rest of the continent, and earn the world's respect.","According to a 2002 poll by Ipsos-Reid, 79% of Canadians supported ""the constitutional monarchy as Canada's form of government where we elect governments whose leader becomes Prime Minister,""[REF] and a further 62% believed the monarchy helped to define Canada's identity.","Pierre Skilling has asserted that Hergé saw monarchy as ""the legitimate form of government"", noting that democratic ""values seem underrepresented in [such] a classic Franco-Belgian strip""."
We should introduce a flat tax,"In 2001, Putin, who has advocated liberal economic policies, introduced flat tax rate of 13%;[REF][REF] the corporate rate of tax was also reduced from 35 percent to 24 percent;[REF] Small businesses also get better treatment.","Later analysis suggested that, in particular, Merkel's support for a flat-tax proposal by Paul Kirchhof, the shadow Finance Minister, further undermined her credibility on economic affairs and gave the impression that the CDU's economic reforms would only benefit the very rich.","Later analysis suggested that, in particular, Merkel's support for a flat-tax proposal by Paul Kirchhof, the shadow Finance Minister, further undermined her credibility on economic affairs and gave the impression that the CDU's economic reforms would only benefit the very rich.","Later analysis suggested that, in particular, Merkel's support for a flat-tax proposal by Paul Kirchhof, the shadow Finance Minister, further undermined her credibility on economic affairs and gave the impression that the CDU's economic reforms would only benefit the very rich.","Later analysis suggested that, in particular, Merkel's support for a flat-tax proposal by Paul Kirchhof, the shadow Finance Minister, further undermined her credibility on economic affairs and gave the impression that the CDU's economic reforms would only benefit the very rich.","Later analysis suggested that, in particular, Merkel's support for a flat-tax proposal by Paul Kirchhof, the shadow Finance Minister, further undermined her credibility on economic affairs and gave the impression that the CDU's economic reforms would only benefit the very rich."
We should prohibit hydraulic fracturing,"Hydraulic fracturing also affects individuals in close proximity to the activity, like the case previously discussed about the nurse who became ill after exposure from treating a hydraulic fracturing worker (Frankowski, 2008).","Natural gas drilling increased in the United States after the Environmental Protection Agency said in 2004 that hydraulic fracturing, ""posed little or no threat"" to drinking water.","In response to calls to ban fracking in parts of New York, the Manhattan Institute released a report in 2011 projecting that allowing fracking would stimulate the state economy to the tune of $11 billion.","Advances in the technology of 3-D seismic imaging, drilling and completion technology, including hydraulic fracturing techniques has enabled Chief to produce gas from the low permeability Barnett Shale and Marcellus Shale that otherwise would not be economically feasible.","Advances in the technology of 3-D seismic imaging, drilling and completion technology, including hydraulic fracturing techniques has enabled Chief to produce gas from the low permeability Barnett Shale and Marcellus Shale that otherwise would not be economically feasible.","Advances in the technology of 3-D seismic imaging, drilling and completion technology, including hydraulic fracturing techniques has enabled Chief to produce gas from the low permeability Barnett Shale and Marcellus Shale that otherwise would not be economically feasible."
We should ban partial birth abortions,The United States Supreme Court upheld the 2003 partial-birth abortion ban by a narrow majority of 5-4.,"For example, Kennedy dissented in the 2000 decision in Stenberg v. Carhart, which struck down laws criminalizing partial-birth abortion.",NARAL endorsed Sestak in the 2010 Democratic primary over Specter because of Sestak's opposition to a ban on partial birth abortion.,"Jeffords consistently voted against the ban on partial-birth abortion, and also against a harsher line on Cuba.","Jeffords consistently voted against the ban on partial-birth abortion, and also against a harsher line on Cuba.","Jeffords consistently voted against the ban on partial-birth abortion, and also against a harsher line on Cuba."
We should legalize prostitution,"Many people who support legal prostitution argue that prostitution is a consensual sex act between adults and a victimless crime, thus the government should not prohibit this practice.",The Swedish Government believes that women selling sexual services to men constitutes a form of violence against women which should be eliminated by reducing demand.,A law proposal was introduced in the House of Representatives of the Netherlands in 2009 and amended in 2010 which would ban prostitution by people younger than 21.,"On September 2, 2009, Cicilline submitted an ordinance to the City Council to ban indoor prostitution in the city, imposing a $500 fine and a potential 30-day prison sentence on violators.","The proponents of the abolitionist view hold that prostitution is a practice which ultimately leads to the mental, emotional and physical destruction of the women who engage in it, and, as such, it should be abolished.","""According to the National Criminal Police, it is clear that the ban on the purchase of sexual services acts as a barrier to human traffickers and procurers considering establishing themselves in Sweden""."
We should introduce a flat tax,The countries that have recently reintroduced flat taxes have done so largely in the hope of boosting economic growth.,"Scorsone supported abortion rights, called a flat tax ""too regressive"", and favored national educational testing and standards.","Concerning tax policy, the NFU is in favor of a more progressive tax structure and are opposed to a flat tax.","Concerning tax policy, the NFU is in favor of a more progressive tax structure and are opposed to a flat tax.","Concerning tax policy, the NFU is in favor of a more progressive tax structure and are opposed to a flat tax.","Concerning tax policy, the NFU is in favor of a more progressive tax structure and are opposed to a flat tax."
We should abolish the monarchy,"Moreover, Leonardo Bruni (1370-1444) asserted, based on Tacitus's pronouncements in the introduction to the Histories, that republican government made better men, whereas monarchy was inimical to human virtue (see Tacitean studies).","Former Deputy Prime Minister Michael Cullen declared that he supported the monarchy, stating in 2004 he was ""a sort of token monarchist in the Cabinet these days.""[REF]","Pierre Skilling has asserted that Hergé saw monarchy as ""the legitimate form of government"", noting that democratic ""values seem underrepresented in [such] a classic Franco-Belgian strip"".","A 1999 Gallup poll found that 48% of Canadians thought Canada should have a monarch as its head of state, while 43% thought Canada should discontinue its ties with the monarchy.","Some, such as journalist Christina Blizzard, emphasise that the monarchy ""made [Canada] a haven of peace and justice for immigrants from around the world.""[REF]","The polling conducted by the Morgan Poll in May 2011 showed the support for the monarchy was now 55% (up 17% since 1999), whereas the support for a republic was at 34% (down 20%)."
