topic,evidence_1,evidence_2,evidence_1_stance,evidence_2_stance,evidence_1_detection_score,evidence_2_detection_score
We should legalize cannabis,"""The long term consumption of cannabis in moderate doses has no harmful effects ( .. )Cannabis is less dangerous than the opiates, amphetamines and barbiturates, and also less dangerous than alcohol.",Cannabis also has been shown to have a synergistic cytotoxic effect on lung cancer cell cultures in vitro with the food additive butylated hydroxyanisole (BHA) and possibly the related compound butylated hydroxytoluene (BHT).,PRO,CON,0.8048697710037231,0.3897056877613068
We should subsidize biofuels,The study conclusion is that the net effect of biofuel production via clearing of carbon-rich habitats is to increase CO2 emissions for decades or centuries relative to fossil fuel use [REF].,Figures from the International Energy Agency (IEA) show that biomass energy provides around 30% of the total primary energy supply in developing countries; over 2 billion people depend on biomass fuels as their primary energy source [REF].,CON,PRO,0.8709971904754639,0.932826042175293
We should legalize cannabis,"Writing in the Canadian Medical Association Journal, smoking cannabis from a pipe may significantly relieve chronic pain in patients with damaged nerves [REF].",Smaller studies have implicated cannabis use in the development of bladder cancer [REF] and testicular germ cell tumors [REF].,PRO,CON,0.9190701842308044,0.7391251921653748
We should subsidize condoms,"In 2009, Cardinal Maradiaga agreed with the Pope that condoms cannot be of any real benefit in the fight against AIDS [REF].","In 1987, Tufts University students Davin Wedel and Adam Glickman started Global Protection Corp. in response to C. Everett Koop's statement that ""a condoms can save your life.""",CON,PRO,0.7822619080543518,0.8503812551498413
We should legalize prostitution,"A report produced by the Australian Institute of Criminology in May 1990 recommended that prostitution not be a criminal offence, since the current laws were ineffective and endangered sex workers.","In 1990, the Supreme Court of Canada upheld the law which bans public solicitation of prostitution, arguing that the law had the goal to abolish prostitution, which was a valid goal.",PRO,CON,0.8264715075492859,0.6900994181632996
We should ban male infant circumcision,"The authors said, ""Male circumcision provides a degree of protection against acquiring HIV infection, equivalent to what a vaccine of high efficacy would have achieved.","A meta-analysis of data from fifteen observational studies of men who have sex with men found ""insufficient evidence that male circumcision protects against HIV infection or other STIs.""[REF] .",CON,PRO,0.8606271743774414,0.9193456768989564
We should ban male infant circumcision,"A meta-analysis of data from fifteen observational studies of men who have sex with men found ""insufficient evidence that male circumcision protects against HIV infection or other STIs.""[REF] .","Byakika-Tusiime states that available evidence satisfies six of Hill's criteria, and concludes that the results of her analysis ""provide unequivocal evidence that circumcision plays a causal role in reducing the risk of HIV infection among men.""[REF]",PRO,CON,0.9193456768989564,0.9099786281585692
We should subsidize biofuels,"Brazil's Environment Minister, Izabella Teixeira, claims that ""biofuel production in Brazil is driven by public policies that seek to increase its production in a sustainable manner, conserving nature, creating jobs and sharing the benefits among the population"" [REF].",The study conclusion is that the net effect of biofuel production via clearing of carbon-rich habitats is to increase CO2 emissions for decades or centuries relative to fossil fuel use [REF].,PRO,CON,0.8361221551895142,0.8709971904754639
We should legalize prostitution,The PRC rejects the argument that prostitution is an unremarkable transaction between consenting individuals and that prohibition laws constitute a violation of civil liberties.,"In 1990, the Supreme Court of Canada upheld the law which bans public solicitation of prostitution, arguing that the law had the goal to abolish prostitution, which was a valid goal.",PRO,CON,0.849384069442749,0.6900994181632996
We should adopt vegetarianism,"Nicholas Stern, the author of the 2006 Stern Review on climate change has stated ""people will need to turn vegetarian if the world is to conquer climate change"" [REF].","Schopenhauer's views on animal rights stopped short of advocating vegetarianism, arguing that, so long as an animal's death was quick, men would suffer more by not eating meat than animals would suffer by being eaten.",PRO,CON,0.8316208720207214,0.6759892702102661
We should further exploit wind turbines,"The project, created by the local Gorona del Viento El Hierro consortium with financial aid from the European Union, will construct five wind turbines of type E-70 capable of producing 11.5 megawatts of wind power to supply electricity for approximately 11,000 residents, an additional number of tourists, and three water desalination facilities.","In the United States, an unofficial non-peer-reviewed estimate by a U.S. Fish & Wildlife Service (USFWS) scientist in 2009 claimed that wind turbines kill 440,000 birds per year, with future mortality expected to increase significantly as wind power generation expands by 2030 to levels about 12 times higher than 2009 levels [REF].",PRO,CON,0.5090318918228149,0.9404011964797974
We should ban partial birth abortions,NARAL endorsed Sestak in the 2010 Democratic primary over Specter because of Sestak's opposition to a ban on partial birth abortion [REF].,"During his term, Sodrel expressed strong pro-life opinions and opposed partial-birth abortions and federal funding for elective abortions.",CON,PRO,0.7023003101348877,0.5953294634819031
Sex education should be mandatory,McCain is against federal funding of birth control and sex education; his opposition included a vote against spending $100 million to reduce teen pregnancy by education and contraceptives [REF].,"A coordinated program between UNDP, UNICEF, and the ministries of health and education promotes sexual education at a larger scale in rural areas and spreads awareness of the dangers of female genital cutting.",CON,PRO,0.5698096752166748,0.7604541778564453
We should subsidize biofuels,In 2008 a critical report by the Royal Society stated that biofuels risk failing to deliver significant reductions in greenhouse gas emissions from transport and could even be environmentally damaging unless the Government puts the right policies in place [REF].,"Researchers at the Overseas Development Institute have argued that biofuels could help to reduce poverty in the developing world, through increased employment, wider economic growth multipliers and by stabilising oil prices (many developing countries are net importers of oil) [REF].",CON,PRO,0.9096725583076476,0.9540693759918212
We should legalize polygamy,Sudanese President Omar Hassan al-Bashir has encouraged multiple marriages to increase the population [REF].,"Israel, in accordance with Western ethics, has made polygamy illegal [REF].",PRO,CON,0.6794291138648987,0.1930398792028427
We should introduce school vouchers,"In 2006, the Court struck down a law passed by the Florida State Legislature that had created the United States' first statewide education voucher program.","When drop-out rates and test scores showed little improvement, Johnson changed his tactics and began advocating for school vouchers - a key issue in budget battles of his second term [REF].",CON,PRO,0.5252106189727783,0.4130633175373077
We should legalize prostitution,"[REF] Ethnographical research on street prostitution, done by Alexandra Oliveira, of University of Porto [REF] has led the researcher to argue that prostitution should be legalized to improve the situation of the women [REF].","Feminists who hold such views on prostitution include Kathleen Barry, Melissa Farley,[REF][REF] Julie Bindel,[REF][REF] Sheila Jeffreys, Catharine MacKinnon[REF] and Laura Lederer;[REF] the European Women's Lobby has also condemned prostitution as ""an intolerable form of male violence"" [REF].",PRO,CON,0.9225357174873352,0.6740348935127258
We should subsidize condoms,"In 2009, she declared herself to be ""profoundly shocked"" by statements of Pope Benedict XVI which claimed that condoms promote AIDS, although they in fact help prevent it.","In 2003, contrary to empirical evidence, the president of the Vatican's Pontifical Council for the Family - ""senior spokesman"" Cardinal Alfonso Lopez Trujillo - claimed that condoms are permeable to the aids virus.",PRO,CON,0.6417813897132874,0.608909547328949
We should further exploit hydroelectric dams,"Some of Tajikistan's neighbours, especially Uzbekistan, are concerned that construction of large hydroelectric plants within the headwaters of the region's rivers will result in shortages of water downstream [REF].","Following the BC provincial government's 2002 Energy Plan, publicly owned BC Hydro was forbidden from producing new sources of hydroelectricity as part of a shift to deregulate and privatize the BC electricity sector.",CON,PRO,0.5710528492927551,0.8562178015708923
We should abolish the monarchy,"A 2002 poll by EKOS Research Associates found that the majority 52% of Canadians think that ""the monarchy is an outdated and regressive institution that has no real relevance to most of Canadians today.""","Comparing laws in the various forms of government, Shcherbatov pointed out the advantage of the monarchy, which, having its solid established laws could provide for its citizens' security for their lives, property and tranquility.",PRO,CON,0.9550170302391052,0.5071322321891785
We should introduce a flat tax,"In 2001, Putin, who has advocated liberal economic policies, introduced flat tax rate of 13%;[REF][REF] the corporate rate of tax was also reduced from 35 percent to 24 percent;[REF] Small businesses also get better treatment.","Later analysis suggested that, in particular, Merkel's support for a flat-tax proposal by Paul Kirchhof, the shadow Finance Minister, further undermined her credibility on economic affairs and gave the impression that the CDU's economic reforms would only benefit the very rich.",PRO,CON,0.6410778164863586,0.2308096885681152
We should prohibit hydraulic fracturing,"Hydraulic fracturing also affects individuals in close proximity to the activity, like the case previously discussed about the nurse who became ill after exposure from treating a hydraulic fracturing worker (Frankowski, 2008) [REF].","In response to calls to ban fracking in parts of New York, the Manhattan Institute released a report in 2011 projecting that allowing fracking would stimulate the state economy to the tune of $11 billion [REF].",PRO,CON,0.2282880246639252,0.893314003944397
We should ban partial birth abortions,NARAL endorsed Sestak in the 2010 Democratic primary over Specter because of Sestak's opposition to a ban on partial birth abortion [REF].,The United States Supreme Court upheld the 2003 partial-birth abortion ban by a narrow majority of 5-4.,CON,PRO,0.7023003101348877,0.7480446100234985
We should legalize prostitution,"Many people who support legal prostitution argue that prostitution is a consensual sex act between adults and a victimless crime, thus the government should not prohibit this practice.","In July 1941, President Franklin D. Roosevelt had signed into law a federal ban on prostitution near naval and military bases [REF].",PRO,CON,0.8571430444717407,0.5180975794792175
We should introduce a flat tax,The countries that have recently reintroduced flat taxes have done so largely in the hope of boosting economic growth.,"Scorsone supported abortion rights, called a flat tax ""too regressive"", and favored national educational testing and standards [REF].",PRO,CON,0.7145066261291504,0.7762302160263062
We should abolish the monarchy,"Moreover, Leonardo Bruni (1370-1444) asserted, based on Tacitus's pronouncements in the introduction to the Histories, that republican government made better men, whereas monarchy was inimical to human virtue (see Tacitean studies).","Comparing laws in the various forms of government, Shcherbatov pointed out the advantage of the monarchy, which, having its solid established laws could provide for its citizens' security for their lives, property and tranquility.",PRO,CON,0.2374625355005264,0.5071322321891785
We should subsidize condoms,"Given the premise that some adolescents are going to have sex, a harm-reductionist approach supports a sexual education which emphasizes the use of protective devices like condoms and dental dams to protect against unwanted pregnancy and the transmission of STIs.","Joseph McIlhaney, a Texas-based doctor known for his published beliefs rejecting the use of condoms to prevent the spread of HIV and other sexually transmitted diseases, and his continued advocacy of abstinence-only programs despite negligible evidence that they actually reduce pregnancy rates among young people.",PRO,CON,0.7579944729804993,0.8413746356964111
We should legalize prostitution,"On September 2, 2009, Cicilline submitted an ordinance to the City Council to ban indoor prostitution in the city, imposing a $500 fine and a potential 30-day prison sentence on violators [REF].","Liquor, gambling, and prostitution were ubiquitous, supported in Seattle by one of the city's founders, David Swinson ""Doc"" Maynard, who believed that well-run prostitution could be a functional part of the economy.",CON,PRO,0.8083139657974243,0.588632345199585
We should legalize polygamy,"Furthermore, former chief rabbi Ovadia Yosef[REF] has come out in favor of legalizing polygamy and the practice of pilegesh (concubine) by the Israeli government.","In 2003, Director of the Israeli Population Administration Department, Herzl Gedj, described polygamy in the Bedouin sector a ""security threat"" and advocated various means of reducing the Arab birth rate [REF].",PRO,CON,0.4660208821296692,0.7851728796958923
We should subsidize condoms,"In 2009, Cardinal Maradiaga agreed with the Pope that condoms cannot be of any real benefit in the fight against AIDS [REF].",Early 20th century experiments by the American military concluded that providing condoms to soldiers significantly lowered rates of sexually transmitted diseases [REF].,CON,PRO,0.7822619080543518,0.8643600344657898
We should legalize cannabis,Proposition P made it the policy of the City of San Francisco to recommend that the State of California and the California Medical Association make cannabis available for medicinal purposes and to protect physicians from penalties for prescribing medicinal cannabis [REF].,"Cannabis has been correlated with the development of various mental disorders in multiple studies, for example a recent 10 year study on 1923 individuals from the general population in Germany, aged 14-24, concluded that cannabis use is a risk factor for the development of incident psychotic symptoms.",PRO,CON,0.8740560412406921,0.8393764495849609
We should prohibit corporal punishment,"Elementary schools were organized, the Board issued instructions for teachers, prohibiting corporal punishment.",30% agreed that physical punishment should be part of child discipline.,PRO,CON,0.3620904088020325,0.4867983758449554
We should subsidize biofuels,In 2008 a critical report by the Royal Society stated that biofuels risk failing to deliver significant reductions in greenhouse gas emissions from transport and could even be environmentally damaging unless the Government puts the right policies in place [REF].,Figures from the International Energy Agency (IEA) show that biomass energy provides around 30% of the total primary energy supply in developing countries; over 2 billion people depend on biomass fuels as their primary energy source [REF].,CON,PRO,0.9096725583076476,0.932826042175293
We should ban partial birth abortions,"Obama voted against the Partial-Birth Abortion Ban Act, saying ""On an issue like partial birth abortion, I strongly believe that the state can properly restrict late-term abortions.","In 2010, he stated, ""I support the Roe v. Wade Supreme Court decision; however, I oppose federal funding of abortions (Hyde Amendment) and support banning of so-called partial-birth abortions.""[REF]",CON,PRO,0.914128601551056,0.7644075751304626
We should legalize cannabis,A poll conducted by The Mercury in October 2011 showed that 71% of Australians want Cannabis legalised [REF].,Some studies have suggested that cannabis users have a greater risk of developing psychosis than non-users.,PRO,CON,0.826003909111023,0.9062711596488952
We should ban male infant circumcision,"Modern proponents, such as Morris, argue that circumcision reduces the risks of urinary tract infections, penile cancer, HIV, balanitis, posthitis, phimosis, and prostate cancer as well as conferring sexual benefits [REF].","Both the WHO and CDC indicate that circumcision may not reduce HIV transmission from men to women, and that data is lacking for the transmission rate of men who engage in anal sex with a female partner [REF].",CON,PRO,0.9154067635536194,0.9432256817817688
Bullfighting should be banned,"The King has allegedly stated, that ""the day the EU bans bullfighting is the day Spain leaves the EU"" [REF].","In addition, recent studies have stated that 92% of Galicians are firmly against bullfighting, the highest rate of the country, even more than Catalonia.",CON,PRO,0.7806721329689026,0.8064275979995728
We should prohibit hydraulic fracturing,"The NYC Dept. of Environmental Protection's position: ""While DEP is mindful of the potential economic opportunity that this represents for the State, hydraulic fracturing poses an unacceptable threat to the unfiltered water supply of nine million New Yorkers and cannot safely be permitted with the New York City watershed.""[REF] .","In 2004, the EPA released a study that concluded the threat to drinking water from hydraulic fracturing was ""minimal"" and the Energy Policy Act of 2005 exempted fractured wells from being re-classified as injection wells, which would place them under federal regulation under the Safe Drinking Water Act [REF].",PRO,CON,0.7514556050300598,0.8563528060913086
We should prohibit corporal punishment,"Larzelere, like most experts who believe spanking is not always detrimental, believes that certain guidelines must be kept in mind if parents choose to use corporal punishment.","Some humans-service professionals claim that cultural norms that sanction physical punishment are one of the causes of child abuse, and have undertaken campaigns to redefine such norms [REF].",CON,PRO,0.3486383855342865,0.6319666504859924
We should end international aid,"Moyo, who has a Doctorate in Economics from Oxford University, and a Masters from Harvard's Kennedy School of Government, believes foreign aid is ""easy money that fosters corruption and distorts economies, creating a culture of dependency and economic laziness.""[REF] .",ACIAR forms part of the Australian Government's overseas aid program and works toward the aid program's objective of assisting developing countries to reduce poverty and achieve sustainable development in line with the national interest.,PRO,CON,0.4510231316089629,0.6503753066062927
We should further exploit wind power,The State of California is encouraging solar and wind power generation that is connected to the electrical grid to avoid the use of toxic lead acid batteries for night time storage [REF].,"According to the article, on December 10, 2010, MSNBC reported that ""Pickens said low natural gas prices have made utility companies view wind power as too expensive."" .",PRO,CON,0.8684550523757935,0.6157621741294861
We should legalize prostitution,The PRC rejects the argument that prostitution is an unremarkable transaction between consenting individuals and that prohibition laws constitute a violation of civil liberties.,"On November 3, governor Donald Carcieri signed into law a bill which makes the buying and selling of sexual services a crime [REF].",PRO,CON,0.849384069442749,0.5821094512939453
We should introduce school vouchers,"Hopes were initially high when, on March 6, 1956, the Virginia constitutional convention voted 39-to-1 to approve the constitutional amendment to permit educational vouchers [REF].",School vouchers are legally controversial in some states; in 2005 the Florida Supreme Court found that school vouchers were unconstitutional under the Florida Constitution.,PRO,CON,0.4017109572887421,0.5330281853675842
We should legalize cannabis,"A 2008 study suggested that long-term, heavy cannabis use (over five joints daily for more than ten years) are associated with structural abnormalities in the hippocampus and amygdala areas of the brain [REF].","According to a 2006 United Kingdom government report, using cannabis is much less dangerous than tobacco, prescription drugs, and alcohol in social harms, physical harm, and addiction [REF].",CON,PRO,0.858632504940033,0.8809947967529297
We should further exploit wind power,"According to the article, on December 10, 2010, MSNBC reported that ""Pickens said low natural gas prices have made utility companies view wind power as too expensive."" .","According to the National Directorate for Energy and Nuclear Technology (DNETN), grid-connected wind power generation is one of the domestic resources with best potential in Uruguay for the medium and long term [REF].",CON,PRO,0.6157621741294861,0.8356220722198486
We should further exploit hydroelectric dams,"International Energy Agency Among sources of renewable energy, hydroelectric plants have the advantages of being long-lived-many existing plants have operated for more than 100 years.","Some of Tajikistan's neighbours, especially Uzbekistan, are concerned that construction of large hydroelectric plants within the headwaters of the region's rivers will result in shortages of water downstream [REF].",PRO,CON,0.8150023221969604,0.5710528492927551
We should ban partial birth abortions,Kaptur also voted in favor of banning partial-birth abortions in 2000 and 2003 [REF].,"In 1997, McCarthy voted against a ban on late-term partial-birth abortions.",PRO,CON,0.7094628810882568,0.7139325737953186
Sex education should be mandatory,"[REF] Planned Parenthood, which advocates family planning and sex education, argues that no studies have shown abstinence-only programs to result in delayed intercourse, and cites surveys showing that 76% of American parents want their children to receive comprehensive sexuality education including condom use.","A report issued by the Department of Health and Human Services has found the ""most consistent and clear finding is that sex education does not cause adolescents to initiate sex when they would not otherwise have done so.""[REF]",CON,PRO,0.6089234352111816,0.8774712681770325
We should ban male infant circumcision,"In the Netherlands, the Royal Dutch Medical Association (KNMG) stated in 2010 that non-therapeutic male circumcision ""conflicts with the child's right to autonomy and physical integrity.""","A 13th-century French Maimonides disciple, Isaac ben Yediah claimed that circumcision was an effective way of reducing a woman's sexual desire.",PRO,CON,0.9175626039505004,0.7347903847694397
We should prohibit corporal punishment,"Larzelere, like most experts who believe spanking is not always detrimental, believes that certain guidelines must be kept in mind if parents choose to use corporal punishment.","The DCF summary report stated that Victory Forge staff were believed to have ""engaged in physical discipline that is harmful to children, such as choking to unconsciousness, punching, kicking, banging heads into walls and cabinets.""[REF]",CON,PRO,0.3486383855342865,0.7085677981376648
We should abolish the monarchy,Political parties agreed in 1991 that the monarchy would remain to enhance political stability and provide an important symbol of national identity for the culturally diverse Nepali people.,"On 8 March, three Shiite groups formed the ""Coalition for a Bahraini Republic"", including the Wafa, Haq and Freedom Movement, called for the abolishing of the monarchy and the establishing of a democratic republic [REF].",CON,PRO,0.4856820106506348,0.369808167219162
We should subsidize condoms,"Catholics for Choice, a dissident group, maintains that condom use will prevent the spread of AIDS, since couples will have sex despite Vatican prohibition [REF].","""Statistics show that condoms really have not been very effective,"" Tobias told a news conference in Berlin on April 21, 2004 [REF].",PRO,CON,0.8201252222061157,0.2362579405307769
We should introduce a flat tax,"Scorsone supported abortion rights, called a flat tax ""too regressive"", and favored national educational testing and standards [REF].",Advocates of the flat tax argue that the former communist states of Eastern Europe have benefited from the adoption of a flat tax.,CON,PRO,0.7762302160263062,0.5228069424629211
We should adopt vegetarianism,Some people believe that the Book of Daniel also specifically promotes vegetarianism as beneficial.,Bill Mollison has inconsistently argued in his Permaculture Design Course that vegetarianism exacerbates soil erosion.,PRO,CON,0.7279872894287109,0.5242916941642761
We should legalize prostitution,"On November 3, 2009, Rhode Island Governor Donald Carcieri signed into law a bill making the buying and selling of sexual services a crime [REF].","A report produced by the Australian Institute of Criminology in May 1990 recommended that prostitution not be a criminal offence, since the current laws were ineffective and endangered sex workers.",CON,PRO,0.6280248761177063,0.8264715075492859
Sex education should be mandatory,"According to SIECUS, the Sexuality Information and Education Council of the United States, 93% of adults they surveyed support sexuality education in high school and 84% support it in junior high school [REF].","In 2003 a Catholic church spokesman branded sex education as ""pornography"" and Cardinal O'Brien claimed plans to give sex education to pre-school children amounted to ""state-sponsored sexual abuse of minors.""[REF] .",PRO,CON,0.7911561131477356,0.8025376796722412
We should subsidize condoms,"Hummes has publicly rebuked priests who have suggested that condoms be used to help prevent the spread of HIV/AIDS, instead sticking closely to orthodox Vatican doctrine [REF].","Empirical evidence suggests that, although condoms do not guarantee the perfect prevention of STD transmission[REF], condoms greatly reduce the risks of transmission [REF].",CON,PRO,0.9013171195983888,0.929611325263977
We should prohibit corporal punishment,"On social issues, Harper argued for ""parental rights"" to use corporal punishment against their children and supported raising the age of sexual consent [REF].","The National Association of Social Workers ""opposes the use of physical punishment in homes, schools, and all other institutions where children are cared for and educated.""[REF] .",CON,PRO,0.6316759586334229,0.8277991414070129
We should ban male infant circumcision,"Simon Peter, who for Catholic Christians is the first Pope, condemned circumcision for converts according to .",A 2011 meta-analysis concluded that childhood or adolescent circumcision substantially reduces the risk of invasive penile cancer.,PRO,CON,0.5414161086082458,0.9036623239517212
We should prohibit corporal punishment,"According to his obituary in The New York Times, Mr. Murton's ideas on prison reform included treating prisoners with respect, abolishing corporal punishment, providing better food and rooting out extortion and other rackets among the inmates.","Although some Christians use physical discipline for religious reasons, the European Commission of Human Rights rejected an application in 1982 by Swedish parents who alleged that Sweden's 1979 ban on parental physical punishment breached their right to respect for family life and religious freedom [REF].",PRO,CON,0.4229683876037597,0.5925745964050293
We should end affirmative action,Connerly believes affirmative action is a form of racism and that people can achieve success without preferential treatment in college enrollment or in employment.,"Wesolowski supported affirmative action programs for Saskatoon Catholic teachers in 2001, arguing that past policies had discriminated against women and aboriginals.",PRO,CON,0.8626871109008789,0.564474880695343
We should legalize cannabis,A study by Complutense University of Madrid found the chemicals in cannabis promote the death of brain cancer cells by essentially helping them feed upon themselves in a process called autophagy.,"According to a 2006 United Kingdom government report, using cannabis is much less dangerous than tobacco, prescription drugs, and alcohol in social harms, physical harm, and addiction [REF].",CON,PRO,0.7726190686225891,0.8809947967529297
We should legalize cannabis,"For example, a 2007 meta-analysis showed that cannabis use is statistically associated with a dose-dependent increase in risk of development of psychotic disorders, including schizoaffective disorder [REF].","The report, entitled ""Marijuana: A Signal of Misunderstanding,"" reviewed existing cannabis studies and concluded that cannabis does not cause physical addiction [REF].",CON,PRO,0.9270762801170348,0.8086997270584106
We should legalize cannabis,The study also demonstrated a link between an increase in cannabis use and incidences of testicular cancer in men since the 1950s [REF].,A recent study has also concluded that cannabinoids found in Cannabis might have the ability to prevent Alzheimer's disease [REF].,CON,PRO,0.7430889010429382,0.9250274896621704
We should ban fishing,"Research has shown that aquarium fishing activities significantly impact the populations of anemones and anemonefish by drastically reducing the densities of each in exploited areas,[REF] and could also negatively impact anemone shrimp, and any organisms obligately associated with sea anemones.","A recent inquiry by the Royal Society of Edinburgh found fishing to be of much greater social, economic and cultural importance to Scotland than it is relative to the rest of the UK.",PRO,CON,0.8246623277664185,0.5880158543586731
We should ban male infant circumcision,Male circumcision and HIV: Some research has suggested that male circumcision can reduce the risk of HIV infection in some countries.,"Wilson suggests that circumcision reduces insemination efficiency, reducing a man's capacity for extra-pair fertilizations by impairing sperm competition.",CON,PRO,0.96462482213974,0.9148558378219604
We should ban partial birth abortions,"For example, Kennedy dissented in the 2000 decision in Stenberg v. Carhart, which struck down laws criminalizing partial-birth abortion [REF].","Several polls have stated that a majority of Americans support banning ""partial birth abortion"" when the pollsters describe it as such [REF].",CON,PRO,0.7028347253799438,0.9013792276382446
We should legalize prostitution,Some commentators in China and overseas contend that the PRC's policy of banning prostitution is problematic because it hinders the task of developing measures to prevent the spread of HIV [REF].,"On September 2, 2009, Cicilline submitted an ordinance to the City Council to ban indoor prostitution in the city, imposing a $500 fine and a potential 30-day prison sentence on violators [REF].",PRO,CON,0.8409126400947571,0.8083139657974243
Abstinence-only sex education should be mandatory,"Abstinence-only education has been criticized in official statements by the American Psychological Association,[REF] the American Medical Association,[REF] the National Association of School Psychologists,[REF] the Society for Adolescent Medicine,[REF] the American College Health Association,[REF] the American Academy of Pediatrics,[REF] and the American Public Health Association,[REF] which all maintain that sex education needs to be comprehensive to be effective.","The poll sponsored by the National Abstinence Education Association and conducted by Zogby International found that: When parents become aware of what abstinence education vs. comprehensive sex education actually teaches, support for abstinence programs jumps from 40% to 60%, while support for comprehensive programs drops from 50% to 30%.",CON,PRO,0.1276894211769104,0.7512397766113281
We should ban partial birth abortions,"The DLC opposed the partial birth abortion ban, the expiration of the 1994 assault weapon ban, the Clear Skies Initiative, and what they perceived as a lack of funding of the Community Oriented Policing Services (COPS) program.","Smith has described himself as pro-life,[REF] and in 2003 he voted in favor of the Partial-Birth Abortion Ban Act, legislation that prohibits the controversial intact dilation and extraction procedure.",CON,PRO,0.5728427767753601,0.7241247892379761
We should introduce a flat tax,"Concerning tax policy, the NFU is in favor of a more progressive tax structure and are opposed to a flat tax [REF].","Later that week, in accepting Forbes' endorsement of his own presidential candidacy, Giuliani said that ""a flat tax would make a lot of sense"" [REF].",CON,PRO,0.3775584399700165,0.8481164574623108
We should end affirmative action,"Critics contend Connerly fails to recognize the damaging extent of past racism for African Americans and Hispanics, that contemporary institutionalized racism is pervasive and powerful, and that affirmative action can overcome the residual effects of past discrimination on people of color [REF].","Hardin's last book The Ostrich Factor: Our Population Myopia (1999), a warning about the threat of overpopulation to the Earth's sustainable economic future, called for coercive constraints on ""unqualified reproductive rights"" and argued that affirmative action is a form of racism.",CON,PRO,0.6477089524269104,0.6786555647850037
